ts=1 goroutines=386 sys_mb=11.6
ts=2 goroutines=594 sys_mb=16.2
ts=3 goroutines=794 sys_mb=20.7
ts=4 goroutines=995 sys_mb=21.0
ts=5 goroutines=1196 sys_mb=25.0
ts=6 goroutines=1395 sys_mb=29.0
ts=7 goroutines=1595 sys_mb=33.0
ts=8 goroutines=1795 sys_mb=37.0
ts=9 goroutines=1995 sys_mb=41.5
ts=10 goroutines=2195 sys_mb=45.5
ts=11 goroutines=2394 sys_mb=45.5
ts=12 goroutines=2596 sys_mb=49.7
ts=13 goroutines=2796 sys_mb=53.7
ts=14 goroutines=2996 sys_mb=57.7
ts=15 goroutines=3196 sys_mb=61.7
ts=16 goroutines=3396 sys_mb=66.3
ts=17 goroutines=3596 sys_mb=70.3
ts=18 goroutines=3796 sys_mb=70.5
ts=19 goroutines=3998 sys_mb=75.6
ts=20 goroutines=4194 sys_mb=79.6
ts=21 goroutines=4397 sys_mb=83.6
ts=22 goroutines=4597 sys_mb=87.9
ts=23 goroutines=4797 sys_mb=88.2
ts=24 goroutines=4997 sys_mb=92.5
ts=25 goroutines=5197 sys_mb=96.5
ts=26 goroutines=5397 sys_mb=100.5
ts=27 goroutines=5597 sys_mb=104.5
ts=28 goroutines=5797 sys_mb=108.5
ts=29 goroutines=5997 sys_mb=108.7
ts=30 goroutines=6198 sys_mb=113.0
ts=31 goroutines=6202 sys_mb=117.0
ts=32 goroutines=6202 sys_mb=117.0
ts=33 goroutines=6202 sys_mb=117.0
ts=34 goroutines=6202 sys_mb=117.0
ts=35 goroutines=6202 sys_mb=117.0
ts=36 goroutines=6202 sys_mb=117.0
ts=37 goroutines=6203 sys_mb=121.0
ts=38 goroutines=6203 sys_mb=121.3
ts=39 goroutines=6203 sys_mb=121.3
ts=40 goroutines=6202 sys_mb=121.3
ts=41 goroutines=6202 sys_mb=121.3
ts=42 goroutines=6202 sys_mb=121.3
ts=43 goroutines=6202 sys_mb=121.3
ts=44 goroutines=6202 sys_mb=125.3
ts=45 goroutines=6202 sys_mb=125.3
ts=46 goroutines=6202 sys_mb=125.3
ts=47 goroutines=6202 sys_mb=125.3
ts=48 goroutines=6203 sys_mb=125.3
ts=49 goroutines=6202 sys_mb=125.6
ts=50 goroutines=6202 sys_mb=129.6
ts=51 goroutines=6202 sys_mb=129.6
ts=52 goroutines=6202 sys_mb=129.6
ts=53 goroutines=6202 sys_mb=129.6
ts=54 goroutines=6202 sys_mb=129.6
ts=55 goroutines=6202 sys_mb=129.6
ts=56 goroutines=6202 sys_mb=129.6
ts=57 goroutines=6202 sys_mb=133.6
ts=58 goroutines=6202 sys_mb=133.6
ts=59 goroutines=6202 sys_mb=133.6
ts=60 goroutines=6202 sys_mb=133.6
ts=61 goroutines=5804 sys_mb=133.6
ts=62 goroutines=5603 sys_mb=133.6
ts=63 goroutines=5403 sys_mb=133.6
ts=64 goroutines=5203 sys_mb=133.6
ts=65 goroutines=5003 sys_mb=133.6
ts=66 goroutines=4803 sys_mb=133.6
