ts=1 goroutines=368 sys_mb=11.6
ts=2 goroutines=566 sys_mb=16.4
ts=3 goroutines=757 sys_mb=16.5
ts=4 goroutines=948 sys_mb=20.7
ts=5 goroutines=1139 sys_mb=25.0
ts=6 goroutines=1330 sys_mb=29.0
ts=7 goroutines=1520 sys_mb=33.0
ts=8 goroutines=1710 sys_mb=37.0
ts=9 goroutines=1902 sys_mb=37.2
ts=10 goroutines=2093 sys_mb=41.5
ts=11 goroutines=2284 sys_mb=45.5
ts=12 goroutines=2475 sys_mb=49.5
ts=13 goroutines=2666 sys_mb=49.7
ts=14 goroutines=2856 sys_mb=53.7
ts=15 goroutines=3046 sys_mb=57.7
ts=16 goroutines=3236 sys_mb=62.0
ts=17 goroutines=3426 sys_mb=66.0
ts=18 goroutines=3619 sys_mb=66.3
ts=19 goroutines=3808 sys_mb=70.3
ts=20 goroutines=4000 sys_mb=75.6
ts=21 goroutines=4189 sys_mb=79.7
ts=22 goroutines=4379 sys_mb=83.7
ts=23 goroutines=4570 sys_mb=87.9
ts=24 goroutines=4762 sys_mb=88.2
ts=25 goroutines=4951 sys_mb=92.2
ts=26 goroutines=5143 sys_mb=96.2
ts=27 goroutines=5326 sys_mb=100.5
ts=28 goroutines=5521 sys_mb=100.5
ts=29 goroutines=5712 sys_mb=104.7
ts=30 goroutines=5900 sys_mb=108.7
ts=31 goroutines=5908 sys_mb=108.7
ts=32 goroutines=5902 sys_mb=112.7
ts=33 goroutines=5906 sys_mb=112.7
ts=34 goroutines=5900 sys_mb=112.7
ts=35 goroutines=5905 sys_mb=112.7
ts=36 goroutines=5904 sys_mb=112.7
ts=37 goroutines=5904 sys_mb=112.7
ts=38 goroutines=5904 sys_mb=112.8
ts=39 goroutines=5904 sys_mb=117.0
ts=40 goroutines=5906 sys_mb=117.0
ts=41 goroutines=5907 sys_mb=117.0
ts=42 goroutines=5908 sys_mb=117.0
ts=43 goroutines=5907 sys_mb=117.0
ts=44 goroutines=5908 sys_mb=117.0
ts=45 goroutines=5909 sys_mb=117.0
ts=46 goroutines=5909 sys_mb=121.0
ts=47 goroutines=5911 sys_mb=121.0
ts=48 goroutines=5910 sys_mb=121.0
ts=49 goroutines=5910 sys_mb=121.0
ts=50 goroutines=5911 sys_mb=121.3
ts=51 goroutines=5911 sys_mb=121.3
ts=52 goroutines=5913 sys_mb=121.3
ts=53 goroutines=5915 sys_mb=121.3
ts=54 goroutines=5916 sys_mb=125.3
ts=55 goroutines=5916 sys_mb=125.3
ts=56 goroutines=5917 sys_mb=125.3
ts=57 goroutines=5922 sys_mb=125.3
