ts=1 goroutines=340 sys_mb=11.6
ts=2 goroutines=722 sys_mb=16.9
ts=3 goroutines=1092 sys_mb=21.2
ts=4 goroutines=1454 sys_mb=25.2
ts=5 goroutines=1826 sys_mb=29.2
ts=6 goroutines=2204 sys_mb=33.5
ts=7 goroutines=2584 sys_mb=33.5
ts=8 goroutines=2960 sys_mb=38.0
ts=9 goroutines=3338 sys_mb=42.0
ts=10 goroutines=3716 sys_mb=46.0
ts=11 goroutines=4094 sys_mb=50.2
ts=12 goroutines=4475 sys_mb=54.5
ts=13 goroutines=4844 sys_mb=58.5
ts=14 goroutines=5224 sys_mb=62.7
ts=15 goroutines=5598 sys_mb=67.0
ts=16 goroutines=5977 sys_mb=67.2
ts=17 goroutines=6362 sys_mb=71.3
ts=18 goroutines=6748 sys_mb=76.4
ts=19 goroutines=7135 sys_mb=80.4
ts=20 goroutines=7522 sys_mb=84.4
ts=21 goroutines=7906 sys_mb=88.6
ts=22 goroutines=8289 sys_mb=93.2
ts=23 goroutines=8676 sys_mb=97.2
ts=24 goroutines=9064 sys_mb=101.2
ts=25 goroutines=9456 sys_mb=105.2
ts=26 goroutines=9844 sys_mb=109.2
ts=27 goroutines=10230 sys_mb=113.2
ts=28 goroutines=10611 sys_mb=117.7
ts=29 goroutines=11006 sys_mb=122.0
ts=30 goroutines=11392 sys_mb=126.0
ts=31 goroutines=11415 sys_mb=126.0
ts=32 goroutines=11415 sys_mb=126.0
ts=33 goroutines=11422 sys_mb=126.0
ts=34 goroutines=11439 sys_mb=130.0
ts=35 goroutines=11452 sys_mb=130.2
ts=36 goroutines=11455 sys_mb=130.2
ts=37 goroutines=11459 sys_mb=130.2
ts=38 goroutines=11471 sys_mb=134.2
ts=39 goroutines=11472 sys_mb=134.2
ts=40 goroutines=11474 sys_mb=134.5
ts=41 goroutines=11475 sys_mb=134.5
ts=42 goroutines=11476 sys_mb=138.5
ts=43 goroutines=11477 sys_mb=138.5
ts=44 goroutines=11479 sys_mb=138.7
ts=45 goroutines=11482 sys_mb=138.8
ts=46 goroutines=11486 sys_mb=138.8
ts=47 goroutines=11485 sys_mb=138.8
ts=48 goroutines=11484 sys_mb=143.9
ts=49 goroutines=11481 sys_mb=143.9
ts=50 goroutines=11478 sys_mb=143.9
ts=51 goroutines=11477 sys_mb=143.9
ts=52 goroutines=11472 sys_mb=147.9
ts=53 goroutines=11469 sys_mb=147.9
ts=54 goroutines=11463 sys_mb=147.9
ts=55 goroutines=11456 sys_mb=147.9
ts=56 goroutines=11452 sys_mb=147.9
ts=57 goroutines=11447 sys_mb=147.9
ts=58 goroutines=11446 sys_mb=151.9
ts=59 goroutines=11443 sys_mb=151.9
ts=60 goroutines=11434 sys_mb=151.9
ts=61 goroutines=11242 sys_mb=151.9
ts=62 goroutines=10917 sys_mb=151.9
ts=63 goroutines=5134 sys_mb=151.9
ts=64 goroutines=4944 sys_mb=151.9
